pl_name, points, dist(pa), ra(deg), dec(deg), magn, mas
HD 206610 b,1.6522098306484923,147.1920000,325.8537599,-7.4082451,no data,11.82129463557802,
HD 206893 b,1.6843169810230258,40.7583000,326.3416874,-12.7833522,30.980357946805135,235.5348481168253,
HD 206893 c,3.0409999357606017,40.7583000,326.3416874,-12.7833522,28.470640925685643,86.60812644295763,
HD 207496 b,4.231151696915302,23.6060000,328.7181708,-77.3388025,25.575648083636178,2.664576802507837,
HD 20781 b,5.5220700152207005,35.9715000,50.0139757,-28.7841175,no data,1.4706086763131925,
HD 20781 c,5.5220700152207005,35.9715000,50.0139757,-28.7841175,no data,2.7910985085414843,
HD 20781 d,5.5220700152207005,35.9715000,50.0139757,-28.7841175,no data,4.578624744589467,
HD 20781 e,5.5220700152207005,35.9715000,50.0139757,-28.7841175,no data,9.379647776712119,
HD 20782 b,5.383573181509236,35.9864000,50.0166232,-28.8543535,no data,37.928217326545585,
HD 207832 b,2.3971358714635,58.9291000,328.1517893,-26.0271749,no data,9.944153228201348,
HD 207832 c,2.4010507880910685,58.9291000,328.1517893,-26.0271749,no data,35.839678528944106,
HD 207897 b,6.340372845553664,28.2938000,325.2016451,84.3337613,26.975375312712636,4.135181559210852,
HD 20794 b,4.481207183854842,6.0027800,49.9997666,-43.0666533,no data,20.107350261045717,
HD 20794 c,6.683963089366653,6.0027800,49.9997666,-43.0666533,no data,33.91761817024779,
HD 20794 d,7.3652278024115425,6.0027800,49.9997666,-43.0666533,no data,58.289659124605606,
HD 20794 e,3,6.0027800,49.9997666,-43.0666533,no data,84.79404542561947,
HD 208487 b,1.3186088676446348,45.1470000,329.3332489,-37.7641354,no data,11.60652978049483,
HD 208527 b,1.982651796778191,312.2020000,329.0999413,21.2399220,no data,6.726414308684761,
HD 20868 b,1.665972511453561,47.7223000,50.1794053,-33.7296900,no data,19.906836007484973,
HD 208897 b,1.646090534979424,67.4872000,329.7490639,19.0201591,no data,15.751135030050142,
HD 209458 b,2.813413232638319,48.3016000,330.7950219,18.8842419,no data,no data,
HD 210193 b,1.381692573402418,42.2029000,332.3951324,-41.2252050,no data,35.23454549331918,
HD 210277 b,1.444564824846515,21.2985000,332.3748117,-7.5505962,no data,53.05537948681832,
HD 210702 b,1.6286644951140066,54.1963000,332.9638643,16.0404806,no data,19.909108186352203,
HD 211403 b,4.220043712821029,83.0919000,333.8158177,58.2755601,no data,9.242778176934214,
HD 211810 b,1.4154281670205238,64.6353000,334.5286724,61.1349912,no data,41.09209673351869,
HD 211970 b,1.938454082868912,13.1277000,335.5661579,-54.5596006,no data,10.892997250089504,
HD 212301 b,1.2822567719185767,54.2304000,336.8803957,-77.7183219,no data,0.5531952557974862,
HD 212771 b,1.5990405756546073,111.1550000,336.7624130,-17.2641046,no data,10.705771220367954,
HD 213240 b,1.338016390700786,40.8707000,337.7506266,-49.4341037,no data,46.24339685887445,
HD 213472 b,1.3962726501603968,64.4527000,337.7069969,40.7222277,no data,201.6982996833337,
HD 213519 b,0,41.0014000,337.7727845,45.1452472,no data,2.414551698234695,
HD 213885 b,4.576316346621265,48.0883000,338.9837166,-59.8648290,23.3724701724101,0.41839699053615953,
HD 213885 c,2.338240214118434,48.0883000,338.9837166,-59.8648290,no data,1.1811189000234985,
HD 21411 b,1.4272970561998215,29.1328000,51.5474155,-30.6168403,no data,12.42585676625659,
HD 214823 b,0,101.3680000,340.0832062,31.7875183,no data,30.38434219872149,
HD 215152 b,4.621073961499493,21.5974000,340.8380941,-6.4020685,no data,2.6687471640104827,
HD 215152 c,4.621073961499493,21.5974000,340.8380941,-6.4020685,no data,3.120421902636428,
HD 215152 d,4.621073961499493,21.5974000,340.8380941,-6.4020685,no data,4.074101512219063,
HD 215152 e,4.621073961499493,21.5974000,340.8380941,-6.4020685,no data,7.138359246946392,
HD 21520 b,6.156665451560521,79.2080000,51.6403449,-43.6136649,28.31410667159814,2.1790728209271792,
HD 215497 b,2.5655577299412915,40.5468000,341.6527140,-56.5997984,no data,1.2331429360640052,
HD 215497 c,1,40.5468000,341.6527140,-56.5997984,no data,32.308344924876934,
HD 216435 b,1.3335555925987665,32.9834000,343.4094703,-48.5986332,no data,77.61480017220782,
HD 216437 b,0,26.6902000,343.6639631,-70.0733957,no data,96.29002405377253,
HD 216520 b,2.5677052714089754,19.5520000,341.8768719,83.6975307,no data,10.126841243862522,
HD 216520 c,2.5677052714089754,19.5520000,341.8768719,83.6975307,no data,27.00490998363339,
HD 216536 b,1.7245095925846088,376.2330000,343.2665641,44.4777303,no data,1.621335714836285,
HD 216770 b,1.4817558807186515,36.6625000,343.9748751,-26.6595286,no data,12.546880327309921,
HD 21693 b,2.47329650092081,33.2550000,51.8040469,-58.3232726,no data,4.375281912494361,
HD 21693 c,2.47329650092081,33.2550000,51.8040469,-58.3232726,no data,7.776274244474514,
HD 217107 b,2.422981145499822,20.0619000,344.5647243,-2.3954489,no data,3.9876581978775683,
HD 217107 c,2.434977578475336,20.0619000,344.5647243,-2.3954489,no data,265.17927015885834,
HD 21749 c,3.7529099786020503,16.3200000,51.7501882,-63.5001660,27.6514071980366,4.258578431372549,
HD 217786 b,1,55.4847000,345.7838088,-0.4303594,no data,44.08422502059127,
HD 217786 c,1,55.4847000,345.7838088,-0.4303594,no data,0.684873487646144,
HD 217958 b,0,61.7957000,346.1365770,-25.6917758,no data,60.81329283429106,
HD 218566 b,1.6913319238900635,28.8274000,347.2974170,-2.2611645,no data,23.935561306257238,
HD 219077 b,0,29.1864000,348.5319387,-62.7018297,no data,203.3481347476907,
HD 219134 b,9.937249050959942,6.5312700,348.3372026,57.1696255,22.601023730119188,5.934527281830333,
HD 219134 c,9.784965043301131,6.5312700,348.3372026,57.1696255,23.860661031646885,9.998055508346768,
HD 219134 d,10.428843032634045,6.5312700,348.3372026,57.1696255,26.522029796857915,36.28697022171798,
HD 219134 f,10.163231159178887,6.5312700,348.3372026,57.1696255,25.92228259931438,22.399931406908614,
HD 219134 g,6.628332994097293,6.5312700,348.3372026,57.1696255,no data,57.462024996669875,
HD 219134 h,6.628332994097293,6.5312700,348.3372026,57.1696255,no data,476.17079067317684,
HD 219139 b,1.655971848478576,104.9350000,348.3604055,11.0649832,no data,8.957926335350454,
HD 219415 b,1.6597510373443984,165.1840000,348.7243579,56.7303001,no data,19.372336303758235,
HD 219666 b,1.4474398407816176,94.1719000,349.5592665,-56.9039857,26.87064486049688,1.1043634035205832,
HD 219828 b,1,73.1140000,349.6947029,18.6457524,no data,0.6701862844325299,
HD 219828 c,1,73.1140000,349.6947029,18.6457524,no data,77.37232267418004,
HD 220074 b,2,324.5400000,350.0599827,61.9701062,no data,4.9300548468601715,
HD 220197 b,1.4077071969030441,64.4110000,350.4946927,16.6323305,no data,42.368539535172566,
HD 220689 b,1.3511231210944097,46.8778000,351.4707282,-20.6167923,no data,72.44367269795083,
HD 220773 b,1.3468013468013469,50.5103000,351.6144715,8.6428871,no data,97.80183447732443,
HD 220842 b,1.342281879194631,64.6498000,351.6534162,56.8871415,no data,11.446284443262007,
HD 221287 b,1.2690355329949239,55.9231000,352.8362230,-58.2097540,no data,22.352122825809012,
HD 221416 b,3.074803149606299,95.5483000,353.0331863,-21.8012007,23.897452602642282,1.2852138656574739,
HD 221420 b,0,31.1415000,353.3319001,-77.3853286,no data,324.32606008059986,
HD 221585 b,1.4234875444839858,55.8535000,353.2293802,63.1556146,no data,41.28658007107881,
HD 222076 b,1.6645859342488556,91.1538000,354.5319820,-70.9032461,no data,20.07595953213141,
HD 222155 b,1.4032625855113139,50.6078000,354.5025617,48.9960191,no data,101.565371345919,
HD 222582 b,1.381692573402418,42.1586000,355.4640788,-5.9862379,no data,31.78473668480453,
HD 224538 b,0,79.0608000,359.7164302,-61.5868613,no data,30.04017161475725,
HD 224693 b,1.3573125212080082,93.5015000,359.9749837,-22.4279999,no data,2.042747977305177,
HD 22496 b,3.7772809494528587,13.5956000,53.7565398,-48.4178173,no data,3.7512136279384505,
HD 22532 b,1.5879317189360858,161.1830000,53.8148478,-49.4172669,no data,11.787843631152167,
HD 22781 b,1.5914064054107817,32.6034000,55.2065581,31.8258855,no data,35.79381291521743,
HD 22946 d,7.44734982729676,62.7792000,54.8195380,-42.7630276,28.657594139429367,4.711751662971175,
HD 23079 b,1.3391362571141614,33.4591000,54.9281897,-52.9162344,no data,47.81957673697141,
HD 23127 b,1.3691596782474755,93.8555000,54.8491271,-60.0772290,no data,25.251583551310258,
HD 231701 b,1.311260449106704,108.8770000,293.0176220,16.4743566,no data,5.207711454209796,
HD 233604 b,1.6697975370486329,847.0580000,137.4535054,53.5682016,no data,0.8818758573793057,
HD 233832 b,1.6061031921300943,58.7420000,171.5196515,50.3763099,no data,48.12570222328147,
HD 23472 b,11.13410002602198,39.0341000,55.4590314,-62.7672667,28.6641881089183,2.97688431397163,
HD 23472 c,10.647028094323334,39.0341000,55.4590314,-62.7672667,29.566248568665404,4.216825801030381,
HD 23472 d,8.74203283906529,39.0341000,55.4590314,-62.7672667,28.634333185785266,1.1010885354087836,
HD 23472 e,8.728340352196604,39.0341000,55.4590314,-62.7672667,29.442085492141214,1.742066552066014,
HD 23472 f,10.031838154641854,39.0341000,55.4590314,-62.7672667,29.350146111912036,2.321047494370307,
HD 235088 b,4.012846384433848,41.1706000,300.6154535,53.3774418,26.97450868532146,1.72453158321715,
HD 23596 b,0,52.0018000,57.0018601,40.5307308,no data,51.805899026572156,
HD 238090 b,4.3808510638297875,15.2354000,183.0886375,54.4861530,no data,6.117332003098048,
HD 238914 b,1.6775005242189138,519.4520000,279.5842102,59.2538819,no data,10.97310242332304,
HD 240210 b,1.8617640214102862,372.4050000,347.6219227,57.0294818,no data,3.11488836079,
HD 240237 b,2,933.3770000,348.9259334,58.0432233,no data,2.0570466167475736,
HD 24040 b,2.378834884522578,46.6224000,57.5962104,17.4752873,no data,105.52867291259136,
HD 24040 c,2.384924062882477,46.6224000,57.5962104,17.4752873,no data,27.88359243625382,
HD 24064 b,1.9743336623889438,300.2470000,59.1510071,74.0800789,no data,4.296462579143172,
HD 24085 b,1.3258203513423932,54.9004000,56.2563447,-70.0245193,no data,0.6193033201943885,
HD 25015 b,0,37.4330000,59.4335463,-20.2673347,no data,166.91154863355865,
HD 25171 b,1.3061224489795917,55.6146000,58.9574779,-65.1863239,no data,53.421223923214406,
HD 25463 b,4.814814803174211,45.6181000,60.7483361,9.2077676,24.400276475006713,1.6660053794436858,
HD 25463 c,4.737601340954613,45.6181000,60.7483361,9.2077676,24.58259422647969,0.971105767228359,
HD 25723 b,1.678556441460344,114.8160000,61.0947182,-12.7922241,no data,12.977285395763657,
HD 25912 b,1,49.1661000,60.9074988,-51.9315058,no data,4.922090627485198,
HD 25912 c,1,49.1661000,60.9074988,-51.9315058,no data,363.01435338576783,
HD 260655 b,6.281891588785046,10.0055000,99.2915429,17.5662696,26.612759336058232,2.9313877367447905,
HD 260655 c,8.224363250125785,10.0055000,99.2915429,17.5662696,27.19860752060486,4.74638948578282,
HD 26161 b,0,40.9128000,62.4122255,31.6524346,no data,246.54875735711073,
HD 2638 b,1.5426147319706902,54.9621000,7.4990038,-5.7649600,no data,0.7277742298784071,
HD 2685 b,2.676297603293633,196.8520000,7.3289156,-76.3040320,22.440396937956884,0.28854164550017275,
HD 27442 b,1.650846058605035,18.2704000,64.1205476,-59.3028771,no data,69.56607408704791,
HD 27631 b,1.3944570332926616,50.2862000,64.9392168,-41.9606604,no data,64.47096817814828,
HD 27894 b,2,43.8214000,65.1975693,-59.4096776,no data,2.8524875973839268,
HD 27894 c,2,43.8214000,65.1975693,-59.4096776,no data,4.51834035425614,
HD 27894 d,2,43.8214000,65.1975693,-59.4096776,no data,122.36030797738093,
HD 27969 b,1.340931947703654,67.9328000,66.7068364,42.9087200,no data,22.846106740779124,
HD 28109 b,5.241325366337466,139.6110000,65.2383065,-68.1026875,28.485080538461375,0.9719864480592503,
HD 28109 c,6.551767344508271,139.6110000,65.2383065,-68.1026875,28.84435919259365,2.206129889478623,
HD 28109 d,7.018651993076546,139.6110000,65.2383065,-68.1026875,30.043099751452615,2.943894105765305,
HD 28185 b,1,39.3809000,66.6100461,-10.5510754,no data,26.28177619099614,
HD 28185 c,1,39.3809000,66.6100461,-10.5510754,no data,334.5784377705944,
HD 28192 b,0,49.8063000,66.7032517,-1.7244842,no data,2.3691781963325926,
HD 28254 b,0,55.2884000,66.2108141,-50.6228081,no data,44.31309280065982,
HD 284149 AB b,1.3256006628003314,117.8070000,61.6616887,20.3030344,no data,3659.884387175635,
HD 285507 b,1.7765933821896513,45.0293000,61.7556630,15.3349441,no data,1.3324657500782824,
HD 285968 b,2.486666666666667,9.4704500,70.7353853,18.9533580,no data,6.969045821476277,
HD 28678 b,1.6090104585679808,189.9080000,67.8560643,4.5752495,no data,6.213534974829918,
HD 29021 b,1.4388489208633093,30.9939000,69.4681379,60.6762985,no data,73.56286236969208,
HD 290327 b,1.4532243415077202,56.4330000,80.8399887,-2.2780391,no data,60.78004004748995,
HD 29399 b,1.6511867905056758,44.1518000,68.3903471,-62.8237576,no data,43.327791845406075,
HD 2952 b,1.6484648670925202,110.1030000,8.2938367,54.8948177,no data,10.14504600237959,
HD 29985 b,0,31.2707000,70.5216589,-33.9210696,no data,428.1963627293281,
HD 30177 b,1,55.5867000,70.4770964,-58.0208085,no data,64.83565313285372,
HD 30177 c,1,55.5867000,70.4770964,-58.0208085,no data,184.54054656959306,
HD 30562 b,1.3600816048962938,26.1597000,72.1529519,-5.6751152,no data,89.45056709365933,
HD 30669 b,1.4814814814814814,58.0844000,72.1198522,-28.4190757,no data,46.31191851856953,
HD 30856 b,1.634320735444331,131.1990000,72.5745099,-24.3689282,no data,14.100717231076455,
HD 31253 b,1.3050570962479608,58.1438000,73.6822877,12.3520103,no data,21.67041025870342,
HD 31527 b,3.356391997287216,38.4473000,73.9096193,-23.2413163,no data,3.261607447076908,
HD 31527 c,3.356391997287216,38.4473000,73.9096193,-23.2413163,no data,6.92636414000463,
HD 31527 d,3.356391997287216,38.4473000,73.9096193,-23.2413163,no data,21.06259737354769,
HD 3167 b,7.894854039117808,47.2899000,8.7401487,4.3807215,24.241256752885157,0.379785112677337,
HD 3167 c,8.829110453252737,47.2899000,8.7401487,4.3807215,27.944915980581243,3.7555587979674305,
HD 3167 d,4.520623455616803,47.2899000,8.7401487,4.3807215,no data,1.6134523439465933,
HD 3167 e,4.520623455616803,47.2899000,8.7401487,4.3807215,no data,8.215284870553754,
HD 32518 b,1.7467248908296944,122.1150000,77.4037569,69.6391355,no data,4.864267289030832,
HD 32963 b,1.396891915488039,38.0786000,76.9820146,26.3276805,no data,89.5516116663953,
HD 330075 b,1.6,45.2989000,237.4054997,-49.9639199,no data,0.8830236495808949,
HD 331093 b,1.443001443001443,50.1928000,295.6200054,31.7395451,no data,28.68937377472466,
HD 33142 b,3.591913081545748,121.3750000,76.8980559,-13.9863374,no data,8.848609680741504,
HD 33142 c,3.591913081545748,121.3750000,76.8980559,-13.9863374,no data,16.107106076210094,
HD 33142 d,3.591913081545748,121.3750000,76.8980559,-13.9863374,no data,3.7239958805355307,
HD 332231 b,2.8054830287206265,80.6665000,306.7411340,33.7443882,24.68939290375512,1.7975243750503616,
HD 33283 b,1.3479359730412805,89.8623000,77.0044889,-26.7976689,no data,1.6781230838738823,
HD 33564 b,1.28,20.9531000,80.6378979,79.2318488,no data,52.498198357283655,
HD 33844 b,2.6457519029006376,105.7790000,78.1505649,-14.9509775,no data,15.125875646394842,
HD 33844 c,2.6457519029006376,105.7790000,78.1505649,-14.9509775,no data,21.176225904952783,
HD 34445 b,6.360775642116006,46.0907000,79.4207483,7.3527156,no data,44.91144634383943,
HD 34445 c,6.370801919122687,46.0907000,79.4207483,7.3527156,no data,15.580149574643041,
HD 34445 d,6.370801919122687,46.0907000,79.4207483,7.3527156,no data,10.451132224071234,
HD 34445 e,6.370801919122687,46.0907000,79.4207483,7.3527156,no data,5.829809484342829,
HD 34445 f,6.370801919122687,46.0907000,79.4207483,7.3527156,no data,33.47746942441751,
HD 34445 g,6.370801919122687,46.0907000,79.4207483,7.3527156,no data,137.98879166512987,
HD 35759 b,1.3201320132013201,71.2423000,82.8886636,64.3183753,no data,5.4602392118165755,
HD 360 b,1.6771488469601676,111.5420000,2.0729030,-8.8242618,no data,8.78592817055459,
HD 36384 b,2,209.3090000,84.9319998,75.0439884,no data,6.210913051994898,
HD 3651 b,1.5322735108216816,11.1336000,9.8387218,21.2488844,no data,26.496371344398938,
HD 37124 b,2,31.6634000,84.2599947,20.7289784,no data,16.853528048156548,
HD 37124 c,2,31.6634000,84.2599947,20.7289784,no data,54.005571101018845,
HD 37124 d,2,31.6634000,84.2599947,20.7289784,no data,88.65125033950872,
HD 37605 b,2.501219741039595,46.7864000,85.0074276,6.0595116,no data,5.920523912931964,
HD 37605 c,2.501219741039595,46.7864000,85.0074276,6.0595116,no data,79.93775969085033,
HD 3765 b,1.5842211572735554,17.9260000,10.2072994,40.1842918,no data,117.59455539439921,
HD 38283 b,1.3375689683999332,38.0615000,84.2605324,-73.6998131,no data,26.798733628469712,
HD 38529 b,1,42.3538000,86.6451363,1.1675866,no data,2.715222719094863,
HD 38529 c,1,42.3538000,86.6451363,1.1675866,no data,76.16789992869589,
HD 38801 b,1.4986886474334957,91.4349000,86.9963141,-8.3280256,no data,17.75033384407923,
HD 39091 b,2,18.2702000,84.2992798,-80.4646041,no data,181.22406979671814,
HD 39194 b,3.536983669548511,26.4131000,86.1290710,-70.1382377,no data,2.1201600720854423,
HD 39194 c,3.536983669548511,26.4131000,86.1290710,-70.1382377,no data,3.8995801325857244,
HD 39194 d,3.536983669548511,26.4131000,86.1290710,-70.1382377,no data,7.004100238139408,
HD 39855 b,1.4347202295552368,23.2599000,88.6260731,-19.7044472,no data,1.7626902953151133,
HD 40307 b,5.6142050040355125,12.9363000,88.5172191,-60.0237289,no data,3.617726861621948,
HD 40307 c,5.6142050040355125,12.9363000,88.5172191,-60.0237289,no data,6.176418295803282,
HD 40307 d,5.6142050040355125,12.9363000,88.5172191,-60.0237289,no data,10.21157517992007,
HD 40307 f,5.6142050040355125,12.9363000,88.5172191,-60.0237289,no data,19.093558436338057,
HD 40307 g,5.6142050040355125,12.9363000,88.5172191,-60.0237289,no data,46.38111361053779,
HD 40956 b,1.643047853768741,116.5930000,91.6628015,63.4538750,no data,12.007581930304562,
HD 40979 b,1.29764801297648,34.0883000,91.1253346,44.2597855,no data,24.935241710498914,
HD 41004 A b,1,36.6911700,89.9566041,-48.2394189,no data,no data,
HD 41004 B b,1,41.5504000,89.9565956,-48.2394114,no data,no data,
HD 4113 b,0,41.8727000,10.8027515,-37.9831248,no data,30.568843184222658,
HD 42012 b,1.4801110083256244,36.7984000,92.4854730,34.1341722,no data,45.3824079307796,
HD 4203 b,2.4295925661186564,81.3795000,11.1722288,20.4483925,no data,14.377085138149042,
HD 4203 c,2.4331780723754926,81.3795000,11.1722288,20.4483925,no data,85.40234334199647,
HD 4208 b,1.3993353157250306,34.1937000,11.1125532,-26.5150392,no data,48.60544486265014,
HD 42618 b,4.396891915488039,24.3358000,93.0032173,6.7819742,no data,22.76481562143016,
HD 42813 b,5.0125732652675365,68.1920000,93.0578446,-14.6493167,27.16615044593744,1.6277569216330363,
HD 4308 b,1.4069644741470277,22.0158000,11.1652594,-65.6527159,no data,5.450630910527894,
HD 4313 b,1.6184503338053813,136.3080000,11.4181301,7.8450492,no data,8.48812982363471,
HD 43197 b,1,62.4112000,93.3993231,-29.8971929,no data,14.132078857640936,
HD 43197 c,1,62.4112000,93.3993231,-29.8971929,no data,136.83441433588843,
HD 43691 b,1.312982110618743,85.6009000,94.8946124,41.0920773,no data,2.780344599180616,
HD 44219 b,0,52.9051000,95.0599971,-10.7250799,no data,23.816229437237624,
HD 45184 b,2.3630942238882264,21.9532000,96.1820205,-28.7806402,no data,2.9335131097061025,
HD 45184 c,2.3630942238882264,21.9532000,96.1820205,-28.7806402,no data,5.010659038317876,
HD 45350 b,1.437297879985627,46.8733000,97.1902262,38.9627315,no data,40.96148553654212,
HD 45364 b,2.4635931211123308,34.3540000,96.4105736,-31.4810037,no data,19.77353437736508,
HD 45364 c,2.4635931211123308,34.3540000,96.4105736,-31.4810037,no data,26.256040053559996,
HD 45652 b,1.511144692104269,34.8541000,97.3058709,10.9336212,no data,6.799773914690093,
HD 457 b,0,55.0375000,2.2492922,-39.7372401,no data,279.2459686577334,
HD 46375 b,1.5137180700094608,29.5529000,98.3030763,5.4625071,no data,1.3467375452155288,
HD 47186 b,2.4141771256849918,37.4574000,99.0367212,-27.6234285,no data,1.3348497226182279,
HD 47186 c,1,37.4574000,99.0367212,-27.6234285,no data,63.93930171341311,
HD 4732 b,2.6333197223356475,54.7841000,12.3085089,-24.1369079,no data,20.60816915856973,
HD 4732 c,2.6333197223356475,54.7841000,12.3085089,-24.1369079,no data,86.2476521472471,
HD 47366 b,2.6440608302507194,84.3552000,99.4200181,-12.9856593,no data,14.308542923257844,
HD 47366 c,2.6440608302507194,84.3552000,99.4200181,-12.9856593,no data,21.81252608019423,
HD 47536 b,1.82648401826484,122.5360000,99.4489580,-32.3394531,no data,15.750473330286608,
HD 4760 b,1.9627085377821394,537.8730000,12.4161652,6.4071412,no data,2.1194594262957978,
HD 48265 b,1.3954299668585384,90.5446000,100.0073683,-48.5418284,no data,20.03432562516152,
HD 48948 b,3.7417809710428913,16.9043000,102.4898110,60.3373133,no data,3.8570067970871316,
HD 48948 c,5.765289108475079,16.9043000,102.4898110,60.3373133,no data,11.5414421182776,
HD 48948 d,6.741780971042891,16.9043000,102.4898110,60.3373133,no data,28.951213596540526,
HD 4917 b,1.665972511453561,204.2770000,12.7762624,-12.9276648,no data,5.712831106781478,
HD 49674 b,1.4280614066404855,43.0399000,102.8773483,40.8672284,no data,1.3940552835856959,
HD 50499 b,2.3110455588331695,46.2845000,103.0080750,-33.9152670,no data,82.8139009819702,
HD 50499 c,2.3116904410559105,46.2845000,103.0080750,-33.9152670,no data,194.88165584590953,
HD 50554 b,1.3362284950726575,31.1664000,103.6782730,24.2451409,no data,75.497972175163,
HD 51608 b,2.493094438223218,35.0553000,103.7137102,-55.2600189,no data,3.020941198620465,
HD 51608 c,2.493094438223218,35.0553000,103.7137102,-55.2600189,no data,10.86568935367833,
HD 52265 b,1.303780964797914,29.9803000,105.0746449,-5.3668142,no data,17.34472303479285,
HD 5278 b,4.8504810300567165,57.5846000,12.5467785,-83.7437671,26.506999363477586,2.0873636354164136,
HD 5278 c,2.2896985329679187,57.5846000,12.5467785,-83.7437671,no data,4.195566175678914,
HD 5319 b,2.6423732293163624,121.4050000,13.7558096,0.7893425,no data,12.931922078991805,
HD 5319 c,2.6423732293163624,121.4050000,13.7558096,0.7893425,no data,15.897203574811579,
HD 55696 b,1.3306719893546242,77.9693000,108.0622029,-38.1746390,no data,40.78528343848156,
HD 5583 b,1.6563146997929608,219.2160000,14.4869460,34.9853306,no data,2.417706736734545,
HD 5608 b,1.6642396505096735,58.1105000,14.5594349,33.9505774,no data,30.80338320957486,
HD 564 b,1.3554727211114876,51.1659000,2.4694459,-50.2678998,no data,23.45312014447122,
HD 56414 b,0,272.2170000,107.8436846,-68.8333403,28.282615310590856,0.8412406278814328,
HD 56957 b,0,61.4925000,109.3253986,-40.6560651,no data,104.50054884742042,
HD 5891 b,1.7119623368285897,283.5020000,15.1383168,20.2923139,no data,2.257479665046455,
HD 59686 A b,1.7174753112924002,89.2721000,112.9518629,17.0857195,no data,12.165054927575358,
HD 60292 b,1.8399264029438822,315.2110000,114.6201698,66.2350517,no data,4.758717176748273,
HD 60532 b,2.281024819855885,25.9716000,113.5130656,-22.2958661,no data,29.647769101634093,
HD 60532 c,2.281024819855885,25.9716000,113.5130656,-22.2958661,no data,61.6057539774215,
HD 6061 b,4.245444754563095,67.6203000,15.5981441,37.1854394,25.92182028686876,0.8873075097271086,
HD 62364 b,2.2789768185451638,53.1120000,113.9052658,-75.5442707,no data,115.7930411206507,
HD 62364 c,1,53.1120000,113.9052658,-75.5442707,no data,696.3398102123814,
HD 62509 b,1.6351124037583058,,116.3288240,28.0261270,no data,no data,
HD 62549 b,0,49.3305000,116.0821439,-5.0541223,no data,240.0543274444816,
HD 63433 b,4.339957322865445,22.4035000,117.4793699,27.3631342,24.644033646950326,3.2137835606043694,
HD 63433 c,8.380219995982593,22.4035000,117.4793699,27.3631342,25.79564053623682,6.516838886781082,
HD 63433 d,3.4064697609001406,22.4035000,117.4793699,27.3631342,25.388498762416525,2.2451849041444416,
HD 63454 b,1.6625103906899419,37.6894000,114.8406393,-78.2791464,no data,1.061306362000987,
HD 63765 b,1.4681592952835383,32.5376000,116.9582617,-54.2653450,no data,28.889653815893,
HD 63935 b,4.798063523606169,48.9739000,117.9246417,9.3852412,25.96476031061733,1.694780280925146,
HD 63935 c,6.526966965665643,48.9739000,117.9246417,9.3852412,27.112463629669257,3.022017850324356,
HD 64114 b,1.409443269908386,31.5262000,117.9825560,-11.0337221,no data,7.803033667235505,
HD 64121 b,1.5754233950374164,129.9660000,117.3651424,-54.8126136,no data,11.61842327993475,
HD 6434 b,1.3867221355520887,42.3580000,16.1663441,-39.4904909,no data,3.3051607724632897,
HD 65216 b,2.4255167498218104,35.1205000,118.4209646,-63.6466892,no data,37.04389174413804,
HD 65216 c,2.4255167498218104,35.1205000,118.4209646,-63.6466892,no data,163.72204268162469,
HD 66141 b,1.8505667360629192,68.1509000,120.5662825,2.3350265,no data,17.60798463409874,
HD 66428 b,1,53.2817000,120.8691654,-1.1636019,no data,63.71793692768812,
HD 66428 c,1,53.2817000,120.8691654,-1.1636019,no data,176.57094274394396,
HD 67087 b,2.263823064770932,76.5217000,121.9155672,31.5511553,no data,14.11364358084047,
HD 67087 c,2.263823064770932,76.5217000,121.9155672,31.5511553,no data,50.44320761300389,
HD 6718 b,1.3790725736941907,51.3444000,16.9536005,-8.2336165,no data,69.14093844703609,
HD 68402 b,1.3445378151260505,78.4293000,121.3474609,-74.4100732,no data,27.795734502284226,
HD 6860 b,2,61.1246900,17.4329790,35.6204990,no data,33.210802377893444,
HD 68988 b,2.3486176668914363,60.8447000,124.5935429,61.4608518,no data,1.150469966981512,
HD 68988 c,2.359755651909352,60.8447000,124.5935429,61.4608518,no data,216.94576520222793,
HD 69123 b,1.6522098306484923,75.1160000,123.5549900,-35.4899246,no data,33.04222802066138,
HD 69830 b,3.4856081708449396,12.5591000,124.6010091,-12.6364246,no data,6.250447882411956,
HD 69830 c,3.4856081708449396,12.5591000,124.6010091,-12.6364246,no data,14.809978422020686,
HD 69830 d,3.4856081708449396,12.5591000,124.6010091,-12.6364246,no data,50.16283013910232,
HD 70573 b,1.3944570332926616,59.1820000,125.7079153,1.8591088,no data,29.738771923895776,
HD 70642 b,1.3956734124214933,29.2760000,125.3661079,-39.7044432,no data,113.33515507583003,
HD 7199 b,1.4894805436603984,36.1531000,17.6979344,-66.1886947,no data,37.61779764390882,
HD 72490 b,1.6214025131738954,126.3390000,128.4028287,13.5507189,no data,14.880599023262809,
HD 72659 b,1,51.8949000,128.5128072,-1.5686323,no data,90.39423912561735,
HD 72659 c,1,51.8949000,128.5128072,-1.5686323,no data,268.9859697195678,
HD 72892 b,0,69.7311000,128.7195554,-14.4574311,no data,3.269703188390833,
HD 73256 c,0,36.7080000,129.0949961,-30.0373339,no data,103.51966873706004,
HD 73267 b,1,50.4093000,129.0735123,-34.4594469,no data,44.21803119662443,
HD 73267 c,1,50.4093000,129.0735123,-34.4594469,no data,251.69958717934986,
HD 73344 b,3.6532546027553128,35.2600000,129.6894456,23.6852651,25.293197645008508,3.7152580828133868,
