pl_name, points, dist(pa), ra(deg), dec(deg), magn, mas
BD+63 1405 b,1.6,38.0473000,271.3979337,63.6700064,no data,54.14313236418879,
BD-06 1339 b,2.8501387604070305,20.2695000,88.2511811,-5.9963378,no data,2.1115469054490736,
BD-06 1339 c,2.8501387604070305,20.2695000,88.2511811,-5.9963378,no data,21.460815510989416,
BD-08 2823 b,2.661129568106312,41.3342000,150.1971964,-9.5165689,no data,1.4515824668192439,
BD-08 2823 c,2.685630004214075,41.3342000,150.1971964,-9.5165689,no data,16.451267957284767,
BD-10 3166 b,1.483404413128129,84.4069000,164.6191243,-10.7704227,no data,0.4738949066960166,
BD-11 4672 b,2.758241758241758,27.1665000,278.3688659,-11.6370481,no data,86.87169859937791,
BD-11 4672 c,2.758241758241758,27.1665000,278.3688659,-11.6370481,no data,11.043012533819226,
BD-13 2130 b,1.7601760176017602,925.2140000,114.2884692,-13.9066703,no data,1.7941795087406804,
BD-14 3065 b,2.2906327411862755,589.4230000,153.6696689,-15.6428372,23.62656343217379,0.11129528369269608,
BD-17 63 b,0,34.4603000,7.1413494,-16.2273254,no data,no data,
BD-210397 b,2.974821031843989,23.7324000,33.3024198,-21.1962147,no data,110.8189647907502,
BD-210397 c,1,23.7324000,33.3024198,-21.1962147,no data,248.6052822302001,
CD Cet b,4.411637931034482,8.6071500,48.3530155,4.7751881,no data,2.1493758096466307,
CFBDSIR J145829+101343 b,5,,224.6208333,10.2286111,no data,no data,
CFHTWIR-Oph 98 b,2.5260225961229352,,246.9342770,-23.9811500,no data,no data,
CHXR 73 b,0,190.3740000,166.6193985,-77.6258725,no data,1103.0918087553973,
CI Tau c,0,157.9980000,68.4667685,22.8416192,no data,1.0759629868732516,
COCONUTS-2 b,6.73410994375401,10.8864000,117.3009140,-76.7026960,50.31389926231871,689484.126984127,
CT Cha b,1.0582402919355927,190.7200000,166.0375038,-76.4553693,43.70560546809902,2307.046979865772,
CoRoT-1 b,2.8445378151260505,787.9090000,102.0798591,-3.1021394,no data,no data,
CoRoT-10 b,5.207910862569407,338.3860000,291.0636813,0.7460143,30.34142202470373,0.31177412777124347,
CoRoT-11 b,2.2832519463042553,655.0370000,280.6872998,5.9376586,25.18307228153885,0.06656112555473964,
CoRoT-12 b,2.9096916299559474,1126.3700000,100.7656871,-1.2964437,27.6807583157212,0.035654358692081646,
CoRoT-13 b,2.9075208397300925,1148.9300000,102.7211432,-5.0864557,28.673599966685433,0.04438912727494276,
CoRoT-14 b,3.022036572380525,1744.6000000,103.4242023,-5.5360385,27.7667702382289,0.015476326951736789,
CoRoT-16 b,2.915929203539823,732.4090000,278.5246658,-6.0026026,29.5322363639603,0.08437908327177847,
CoRoT-17 b,2.9355850144431046,1176.1200000,278.6992360,-6.6122880,29.431580921938476,0.03919668061082203,
CoRoT-18 b,2.0568191705328696,764.8890000,98.1724172,-0.0316045,26.496787248957197,0.038567687599115684,
CoRoT-19 b,2.8136288998357966,790.6630000,97.0335983,-0.1707293,27.019114780900246,0.06551463771543628,
CoRoT-2 b,2.1567318176231036,213.2830000,291.7770457,1.3836634,23.785093866479674,0.1311872019804673,
CoRoT-20 b,1,844.0610000,97.7204249,0.2268931,no data,0.10662736460990377,
CoRoT-20 c,1,844.0610000,97.7204249,0.2268931,no data,3.4357706374302333,
CoRoT-21 b,2.1771850013916003,,101.0526207,-0.2991544,28.45439190898604,no data,
CoRoT-22 b,2.8470281192119886,627.1580000,280.6671392,6.2191669,30.310147473680868,0.14669349669461285,
CoRoT-23 b,2.9144949341673474,1060.9700000,279.7826586,4.3577516,28.840631319627406,0.045241618518902516,
CoRoT-24 b,3.8652485409242168,591.5550000,101.9225430,-3.7192892,31.396238961662668,0.09466575381832629,
CoRoT-24 c,4.116161616161616,591.5550000,101.9225430,-3.7192892,31.95758780374902,0.165665069182071,
CoRoT-25 b,2.8245033112582782,1103.4800000,280.6296561,6.5138223,28.297225923354027,0.05237974408235763,
